12nc,PPI
3.0001E+11,To Be Determined
4.51213E+11,To Be Determined
3.00011E+11,Allowed
3.0001E+11,Allowed
3.0001E+11,Allowed
3.0001E+11,Allowed
3.00011E+11,Allowed
3.0001E+11,Allowed
3.00009E+11,Allowed
3.0001E+11,Allowed
3.0001E+11,Allowed
3.0001E+11,Allowed
3.0001E+11,Allowed
3.00011E+11,Allowed
3.00011E+11,To Be Determined
3.00007E+11,Preferred
3.00004E+11,To Be Determined
3.00011E+11,Allowed
3.00011E+11,Allowed
3.0001E+11,Allowed
3.00011E+11,Allowed
3.0001E+11,Allowed
3.0001E+11,Allowed
3.0001E+11,Allowed
3.0001E+11,Allowed
3.0001E+11,Allowed
3.00011E+11,Allowed
3.00011E+11,To Be Determined
3.00011E+11,To Be Determined
3.00011E+11,To Be Determined
3.00011E+11,To Be Determined
3.00011E+11,Allowed
3.00009E+11,To Be Determined
3.00008E+11,Allowed
3.0001E+11,Allowed
1.32295E+11,Preferred
3.00008E+11,To Be Determined
3.00008E+11,To Be Determined
3.00008E+11,To Be Determined
3.00011E+11,To Be Determined
3.00008E+11,To Be Determined
3.00008E+11,Allowed
3.00008E+11,To Be Determined
3.00011E+11,Preferred
3.00011E+11,To Be Determined
3.00006E+11,To Be Determined
3.00006E+11,Allowed
3.00006E+11,To Be Determined
3.00008E+11,To Be Determined
3.00008E+11,To Be Determined
3.00008E+11,To Be Determined
3.00011E+11,Preferred
3.00008E+11,To Be Determined
3.00008E+11,To Be Determined
3.00009E+11,To Be Determined
3.00008E+11,To Be Determined
3.00008E+11,To Be Determined
3.00008E+11,To Be Determined
3.00011E+11,Allowed
3.00008E+11,To Be Determined
3.00008E+11,To Be Determined
3.00008E+11,To Be Determined
3.00007E+11,To Be Determined
3.00008E+11,To Be Determined
3.00011E+11,Allowed
3.00008E+11,To Be Determined
3.00011E+11,To Be Determined
3.00009E+11,To Be Determined
3.00008E+11,To Be Determined
3.00008E+11,To Be Determined
3.00008E+11,To Be Determined
3.00008E+11,To Be Determined
3.00008E+11,To Be Determined
3.0001E+11,To Be Determined
3.0001E+11,To Be Determined
3.00008E+11,To Be Determined
3.00008E+11,To Be Determined
3.00007E+11,To Be Determined
3.00011E+11,To Be Determined
3.00008E+11,To Be Determined
3.00008E+11,To Be Determined
3.00008E+11,Preferred
3.0001E+11,To Be Determined
3.00008E+11,To Be Determined
3.00008E+11,To Be Determined
3.00008E+11,To Be Determined
3.00008E+11,Preferred
3.00011E+11,Allowed
3.00011E+11,Allowed
3.00011E+11,Allowed
3.00008E+11,To Be Determined
3.00008E+11,To Be Determined
3.00009E+11,To Be Determined
1110115,To Be Determined
3.00009E+11,Preferred
3.00007E+11,Preferred
3.00005E+11,To Be Determined
4.5122E+11,Preferred
3.00008E+11,Preferred
3.00008E+11,Preferred
4.5122E+11,Preferred
4.22202E+11,Preferred
3.00011E+11,To Be Determined
3.00011E+11,Allowed
3.00011E+11,Allowed
3.00011E+11,Allowed
3.00011E+11,Allowed
3.00011E+11,Allowed
3.00011E+11,Allowed
3.00006E+11,Allowed
3.00009E+11,To Be Determined
4.32207E+11,To Be Determined
4.32207E+11,To Be Determined
3.00006E+11,To Be Determined
3.00004E+11,To Be Determined
3.0001E+11,To Be Determined
3.0001E+11,To Be Determined
3.0001E+11,To Be Determined
3.00011E+11,To Be Determined
3.0001E+11,To Be Determined
3.00011E+11,To Be Determined
3.0001E+11,To Be Determined
4.22203E+11,Preferred
3.00011E+11,To Be Determined
3.00005E+11,Allowed
3.0001E+11,To Be Determined
3.00011E+11,To Be Determined
3.00011E+11,To Be Determined
3.00011E+11,To Be Determined
4.52213E+11,To Be Determined
4.52212E+11,To Be Determined
4.52212E+11,To Be Determined
4.52213E+11,To Be Determined
4.52213E+11,To Be Determined
3.00009E+11,To Be Determined
3.00009E+11,To Be Determined
